# Constructed from biom file
#OTU ID	Osnat089-0-L	Osnat090-1-L	Osnat091-2-L	Osnat092-3-L	Osnat093-4-L	Osnat094-5-L	Osnat095-6-L	Osnat096-7-L	Osnat097-8-L	Osnat098-9-L	Osnat099-10-L	Osnat100-11-L	Osnat101-12-L	Osnat102-1-DL	Osnat103-2-DL	Osnat104-3-DL	Osnat105-4-DL	Osnat106-5-DL	Osnat158-M-2
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Micrococcaceae;g__Microbispora	0.0	175.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	71.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Rhodocyclales;f__Rhodocyclaceae;g__Zoogloea	0.0	0.0	0.0	68.0	38.0	101.0	0.0	0.0	20.0	76.0	0.0	127.0	0.0	162.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Planctomycetes;c__Planctomycetia;o__Gemmatales;f__Gemmataceae;g__Gemmata	0.0	0.0	4.0	48.0	4.0	13.0	0.0	0.0	9.0	0.0	8.0	18.0	4.0	53.0	93.0	46.0	57.0	25.0	3.0
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodospirillales;f__Rhodospirillaceae;g__	0.0	0.0	0.0	21.0	3.0	18.0	0.0	0.0	38.0	39.0	26.0	0.0	16.0	136.0	74.0	53.0	8.0	34.0	0.0
k__Bacteria;p__Verrucomicrobia;c__Opitutae;o__Opitutales;f__Opitutaceae;g__	0.0	0.0	0.0	22.0	15.0	0.0	0.0	4.0	13.0	36.0	36.0	36.0	11.0	109.0	60.0	77.0	34.0	43.0	0.0
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;__	0.0	0.0	0.0	15.0	0.0	18.0	0.0	0.0	24.0	19.0	2.0	45.0	0.0	100.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Bacteroidetes;c__[Saprospirae];o__[Saprospirales];f__Chitinophagaceae;__	0.0	0.0	0.0	3.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	105.0	75.0	87.0	5.0	0.0
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Xanthomonadaceae;g__Lysobacter	0.0	0.0	0.0	18.0	0.0	24.0	0.0	0.0	32.0	23.0	19.0	31.0	0.0	101.0	0.0	0.0	11.0	0.0	0.0
k__Bacteria;p__Planctomycetes;c__Phycisphaerae;o__Phycisphaerales;f__;g__	0.0	0.0	13.0	73.0	61.0	84.0	0.0	0.0	137.0	23.0	90.0	39.0	11.0	283.0	43.0	15.0	59.0	3.0	0.0
k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Myxococcales;f__Nannocystaceae;g__Nannocystis	0.0	4.0	0.0	16.0	0.0	7.0	0.0	0.0	30.0	21.0	22.0	50.0	23.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Oxalobacteraceae;g__Janthinobacterium	0.0	0.0	7.0	18.0	0.0	11.0	0.0	0.0	63.0	28.0	17.0	80.0	42.0	125.0	0.0	0.0	7.0	0.0	0.0
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Ellin329;f__;g__	0.0	0.0	0.0	0.0	16.0	27.0	0.0	0.0	61.0	12.0	28.0	0.0	0.0	108.0	0.0	135.0	0.0	65.0	0.0
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Comamonadaceae;g__Aquabacterium	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	77.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas	0.0	93.0	0.0	0.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	122.0	72.0	0.0	11.0	0.0	0.0	0.0
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Hyphomicrobiaceae;g__Hyphomicrobium	0.0	0.0	0.0	28.0	32.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	69.0	0.0	0.0	6.0	0.0	0.0
k__Bacteria;p__Verrucomicrobia;c__[Pedosphaerae];o__[Pedosphaerales];f__auto67_4W;g__	0.0	0.0	6.0	0.0	20.0	34.0	0.0	0.0	0.0	0.0	19.0	0.0	0.0	68.0	22.0	25.0	3.0	0.0	0.0
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Comamonadaceae;g__Acidovorax	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	20.0	7.0	17.0	0.0	66.0	0.0	10.0	2.0	0.0	0.0
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__Acinetobacter	0.0	12.0	6.0	0.0	19.0	0.0	0.0	0.0	36.0	4.0	27.0	36.0	21.0	85.0	0.0	6.0	14.0	5.0	0.0
k__Bacteria;p__Armatimonadetes;c__[Fimbriimonadia];o__[Fimbriimonadales];f__[Fimbriimonadaceae];g__	0.0	0.0	0.0	12.0	0.0	21.0	0.0	0.0	0.0	0.0	19.0	0.0	0.0	36.0	26.0	22.0	3.0	0.0	0.0
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__Enhydrobacter	0.0	61.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Bacteroidetes;c__Flavobacteriia;o__Flavobacteriales;f__Flavobacteriaceae;g__Flavobacterium	0.0	0.0	0.0	24.0	19.0	0.0	0.0	5.0	15.0	22.0	30.0	38.0	0.0	92.0	26.0	45.0	45.0	32.0	0.0
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;__	0.0	0.0	9.0	0.0	2.0	17.0	0.0	0.0	0.0	16.0	18.0	0.0	0.0	59.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Acidobacteria;c__[Chloracidobacteria];o__RB41;f__Ellin6075;g__	0.0	0.0	0.0	0.0	0.0	7.0	0.0	0.0	0.0	7.0	0.0	0.0	14.0	0.0	61.0	20.0	98.0	39.0	0.0
k__Bacteria;p__Acidobacteria;c__Solibacteres;o__Solibacterales;f__Solibacteraceae;g__Candidatus Solibacter	0.0	0.0	0.0	28.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	59.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Verrucomicrobia;c__[Pedosphaerae];o__[Pedosphaerales];f__Ellin517;g__	0.0	0.0	0.0	15.0	12.0	0.0	0.0	0.0	28.0	28.0	0.0	41.0	9.0	59.0	12.0	0.0	9.0	0.0	10.0
k__Bacteria;p__FBP;c__;o__;f__;g__	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	55.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Legionellales;f__Coxiellaceae;g__	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	33.0	2.0	22.0	0.0	0.0
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Novosphingobium	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	17.0	0.0	0.0	22.0	0.0	54.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;__;__;__;__;__	3.0	0.0	45.0	150.0	174.0	177.0	3.0	10.0	200.0	223.0	149.0	178.0	61.0	454.0	62.0	107.0	62.0	41.0	16.0
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__SC-I-84;f__;g__	0.0	0.0	0.0	30.0	15.0	0.0	0.0	0.0	85.0	0.0	34.0	38.0	29.0	122.0	7.0	28.0	1.0	0.0	0.0
