# Constructed from biom file
#OTU ID	Osnat089-0-L	Osnat090-1-L	Osnat091-2-L	Osnat092-3-L	Osnat093-4-L	Osnat094-5-L	Osnat095-6-L	Osnat096-7-L	Osnat097-8-L	Osnat098-9-L	Osnat099-10-L	Osnat100-11-L	Osnat101-12-L	Osnat102-1-DL	Osnat103-2-DL	Osnat104-3-DL	Osnat105-4-DL	Osnat106-5-DL	Osnat158-M-2
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Tistrellales;f__Geminicoccaceae;__	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	113.0	0.0	0.0	9.0	0.0	0.0
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Micrococcales;f__Micrococcaceae;__	0.0	175.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	71.0	0.0	0.0	0.0	0.0	0.0	34.0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Rhodocyclaceae;g__Zoogloea	0.0	0.0	0.0	68.0	41.0	103.0	0.0	6.0	20.0	78.0	0.0	127.0	0.0	162.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria;p__Planctomycetota;c__Planctomycetes;o__Gemmatales;f__Gemmataceae;g__Fimbriiglobus	0.0	0.0	4.0	33.0	0.0	13.0	0.0	0.0	0.0	0.0	8.0	5.0	0.0	53.0	85.0	37.0	57.0	22.0	3.0
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Reyranellales;f__Reyranellaceae;g__uncultured	0.0	0.0	0.0	21.0	0.0	0.0	0.0	0.0	23.0	18.0	26.0	0.0	16.0	63.0	72.0	39.0	0.0	34.0	0.0
d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Opitutales;f__Opitutaceae;g__Lacunisphaera	0.0	0.0	0.0	22.0	15.0	0.0	0.0	4.0	13.0	39.0	36.0	38.0	11.0	109.0	63.0	77.0	30.0	43.0	0.0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas	0.0	93.0	0.0	15.0	7.0	18.0	0.0	0.0	24.0	19.0	0.0	45.0	122.0	172.0	0.0	11.0	0.0	0.0	0.0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Chitinophagaceae;g__Terrimonas	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	100.0	73.0	87.0	49.0	3.0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Xanthomonadaceae;g__Lysobacter	0.0	0.0	0.0	18.0	6.0	21.0	0.0	0.0	32.0	23.0	19.0	31.0	0.0	94.0	0.0	0.0	11.0	0.0	0.0
d__Bacteria;p__Planctomycetota;c__Phycisphaerae;o__Phycisphaerales;f__Phycisphaeraceae;g__SM1A02	0.0	0.0	13.0	65.0	58.0	84.0	0.0	0.0	130.0	23.0	90.0	39.0	11.0	283.0	43.0	17.0	59.0	3.0	0.0
